time	V(v1)	V(v2)	V(vout)
3.480990269692452e-003	-5.965439e-002	5.965439e-002	1.956995e-001
3.487268171478166e-003	-4.003120e-002	4.003120e-002	1.329398e-001
3.493546073263880e-003	-2.027005e-002	2.027005e-002	6.973121e-002
3.497033796478166e-003	-9.304920e-003	9.304920e-003	3.465448e-002
3.500521519692452e-003	1.651541e-003	-1.651541e-003	-3.968448e-004
3.504009242906738e-003	1.259933e-002	-1.259933e-002	-3.542278e-002
3.507496966121023e-003	2.353844e-002	-2.353844e-002	-7.042331e-002
3.510984689335308e-003	3.446889e-002	-3.446889e-002	-1.053984e-001
3.514472412549594e-003	4.539066e-002	-4.539066e-002	-1.403482e-001
3.517960135763880e-003	5.630375e-002	-5.630375e-002	-1.752725e-001
3.526330671478165e-003	8.251811e-002	-8.251811e-002	-2.591742e-001
3.534701207192451e-003	1.083291e-001	-1.083291e-001	-3.417985e-001
3.543071742906737e-003	1.337368e-001	-1.337368e-001	-4.231452e-001
3.551442278621022e-003	1.587411e-001	-1.587411e-001	-5.032144e-001
3.559812814335307e-003	1.833421e-001	-1.833421e-001	-5.820061e-001
3.568183350049593e-003	2.075397e-001	-2.075397e-001	-6.595203e-001
3.576553885763879e-003	2.313340e-001	-2.313340e-001	-7.357569e-001
3.590504778621021e-003	2.698641e-001	-2.698641e-001	-8.592437e-001
3.604455671478164e-003	3.056954e-001	-3.056954e-001	-9.741227e-001
3.618406564335306e-003	3.388281e-001	-3.388281e-001	-1.080394e+000
3.632357457192449e-003	3.692620e-001	-3.692620e-001	-1.178058e+000
3.646308350049591e-003	3.969971e-001	-3.969971e-001	-1.267114e+000
3.660259242906734e-003	4.220335e-001	-4.220335e-001	-1.347562e+000
3.674210135763877e-003	4.443712e-001	-4.443712e-001	-1.419403e+000
3.700716832192448e-003	4.760426e-001	-4.760426e-001	-1.521533e+000
3.727223528621018e-003	4.943650e-001	-4.943650e-001	-1.580942e+000
3.753730225049589e-003	4.993385e-001	-4.993385e-001	-1.597631e+000
3.780236921478160e-003	4.909630e-001	-4.909630e-001	-1.571600e+000
3.806743617906731e-003	4.692386e-001	-4.692386e-001	-1.502848e+000
3.833250314335302e-003	4.341651e-001	-4.341651e-001	-1.391377e+000
3.859757010763873e-003	3.857428e-001	-3.857428e-001	-1.237185e+000
3.871615269692444e-003	3.605834e-001	-3.605834e-001	-1.156970e+000
3.883473528621015e-003	3.338207e-001	-3.338207e-001	-1.071603e+000
3.895331787549586e-003	3.054549e-001	-3.054549e-001	-9.810859e-001
3.907190046478157e-003	2.754858e-001	-2.754858e-001	-8.854174e-001
3.919048305406728e-003	2.439134e-001	-2.439134e-001	-7.845978e-001
3.930906564335300e-003	2.107378e-001	-2.107378e-001	-6.786272e-001
3.942764823263871e-003	1.759589e-001	-1.759589e-001	-5.675056e-001
3.949740269692442e-003	1.551819e-001	-1.551819e-001	-5.011066e-001
3.956715716121014e-003	1.342087e-001	-1.342087e-001	-4.340707e-001
3.963691162549585e-003	1.130393e-001	-1.130393e-001	-3.663979e-001
3.970666608978156e-003	9.167359e-002	-9.167359e-002	-2.980881e-001
3.977642055406727e-003	7.011170e-002	-7.011170e-002	-2.291414e-001
3.984617501835298e-003	4.835359e-002	-4.835359e-002	-1.595577e-001
3.991592948263870e-003	2.639925e-002	-2.639925e-002	-8.933709e-002
3.995080671478155e-003	1.543892e-002	-1.543892e-002	-5.427703e-002
3.998568394692441e-003	4.484314e-003	-4.484314e-003	-1.923295e-002
4.002056117906726e-003	-6.464562e-003	6.464562e-003	1.579514e-002
4.005543841121013e-003	-1.740771e-002	1.740771e-002	5.080726e-002
4.009031564335298e-003	-2.834512e-002	2.834512e-002	8.580339e-002
4.012519287549584e-003	-3.927681e-002	3.927681e-002	1.207835e-001
4.016007010763869e-003	-5.020277e-002	5.020277e-002	1.557477e-001
4.024377546478154e-003	-7.646051e-002	7.646051e-002	2.397851e-001
4.032748082192440e-003	-1.023311e-001	1.023311e-001	3.225968e-001
4.041118617906726e-003	-1.278146e-001	1.278146e-001	4.041830e-001
4.049489153621012e-003	-1.529109e-001	1.529109e-001	4.845435e-001
4.057859689335297e-003	-1.776201e-001	1.776201e-001	5.636784e-001
4.066230225049583e-003	-2.019421e-001	2.019421e-001	6.415877e-001
4.074600760763868e-003	-2.258770e-001	2.258770e-001	7.182714e-001
4.088551653621011e-003	-2.646806e-001	2.646806e-001	8.426285e-001
4.102502546478153e-003	-3.008186e-001	3.008186e-001	9.584842e-001
4.116453439335296e-003	-3.342911e-001	3.342911e-001	1.065839e+000
4.130404332192438e-003	-3.650979e-001	3.650979e-001	1.164692e+000
4.144355225049581e-003	-3.932392e-001	3.932392e-001	1.255044e+000
4.158306117906723e-003	-4.187150e-001	4.187150e-001	1.336895e+000
4.172257010763866e-003	-4.415251e-001	4.415251e-001	1.410245e+000
4.198763707192437e-003	-4.742062e-001	4.742062e-001	1.515601e+000
4.225270403621008e-003	-4.935219e-001	4.935219e-001	1.578185e+000
4.251777100049579e-003	-4.994720e-001	4.994720e-001	1.597998e+000
4.278283796478149e-003	-4.920567e-001	4.920567e-001	1.575040e+000
4.304790492906720e-003	-4.712758e-001	4.712758e-001	1.509310e+000
4.331297189335291e-003	-4.371295e-001	4.371295e-001	1.400808e+000
4.357803885763862e-003	-3.896176e-001	3.896176e-001	1.249535e+000
4.369662144692433e-003	-3.648055e-001	3.648055e-001	1.170434e+000
4.381520403621005e-003	-3.383627e-001	3.383627e-001	1.086094e+000
4.393378662549576e-003	-3.102892e-001	3.102892e-001	9.965153e-001
4.405236921478146e-003	-2.805852e-001	2.805852e-001	9.016983e-001
4.417095180406718e-003	-2.492504e-001	2.492504e-001	8.016427e-001
4.428953439335289e-003	-2.162850e-001	2.162850e-001	6.963485e-001
4.440811698263860e-003	-1.816889e-001	1.816889e-001	5.858158e-001
4.447787144692432e-003	-1.610029e-001	1.610029e-001	5.197102e-001
4.454762591121003e-003	-1.401091e-001	1.401091e-001	4.529310e-001
4.461738037549574e-003	-1.190076e-001	1.190076e-001	3.854781e-001
4.468713483978145e-003	-9.769842e-002	9.769842e-002	3.173514e-001
4.475688930406716e-003	-7.618149e-002	7.618149e-002	2.485511e-001
4.482664376835288e-003	-5.445684e-002	5.445684e-002	1.790772e-001
